id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
19890,Three Dots & A Dash,No,Yes,4.1,3864,Indiranagar,"Casual Dining, Bar","Cocktails, Pork Dumplings, Pork Steak, Cosmopolitan, Pizza, Mocktails, Chicken Pasta","European, Continental",1300.00,NA
19923,The Marina,No,No,4.4,542,Indiranagar,Casual Dining,"Sea Food, Jumbo Prawns, Malabar Fish Curry, Crab Soup, Mocktails, Ghee Rice, Veg Starter","Seafood, Continental, North Indian, South Indian",1200.00,Dine-out
19939,Barebones - The Balcony Bar,No,Yes,4.2,2445,Indiranagar,"Bar, Casual Dining","Chips, Lamb, Cocktails, Wedges, Roast Chicken, Pizza, Margarita","Chinese, Continental, Finger Food, Italian",1500.00,NA
19941,Esplanade,No,No,4.3,1563,Indiranagar,Casual Dining,"Fish, Daab Chingri, Luchi, Chicken Rezala, Plain Rice, Kosha Mangsho, Mochar Ghonto",Bengali,1000.00,Dine-out
19943,Cafe Max,No,No,4.2,1654,Indiranagar,"Cafe, Casual Dining","Pasta, Wine, Mocktails, Coffee, Virgin Mojito, Salads, Sangria","Cafe, Continental, Italian, German, French, Spanish",1300.00,Dine-out
19947,Chinita Real Mexican Food,No,No,4.4,2658,Indiranagar,Casual Dining,"Nachos, Churros, Burrito Bowl, Tacos, Enchiladas, Quesedillas, Salads",Mexican,1200.00,Dine-out
19949,Monet's Bistro,No,No,4.5,198,Indiranagar,Cafe,"Burgers, Macaroon, Eclair, Coffee, Sandwich, Fries, Hot Chocolate","Cafe, Beverages",600.00,Dine-out
19968,Wall Street 657,No,No,4.1,1858,Indiranagar,Bar,"Beer, Cocktails, Brownie, Chicken Satay, Chicken Wings, Pizza, Chilli Paneer","Finger Food, Continental",1200.00,NA
19991,Soo Ra Sang,No,No,4.1,290,Indiranagar,Casual Dining,"Cheesecake, Beef Bulgogi, Kimchi, Bibimbap, Clear Soup, Cinnamon Tea, Sushi",Korean,1500.00,Dine-out
19993,Elongo's,No,No,3.9,48,Indiranagar,Bar,"Beer, Wings","Finger Food, South Indian, Continental",900.00,Dine-out
19997,Wanley,No,No,4,514,Indiranagar,Casual Dining,"Noodles, Manchow Soup, Dragon Chicken, Sweet Corn Soup, Roast Pork Chilli, Chop Suey, Roasted Pork",Chinese,500.00,Dine-out
19998,Blu Oyster,No,Yes,0,0,Indiranagar,Casual Dining,NA,"Seafood, Continental, European, Mediterranean",1500.00,Dine-out
20016,Pot-O-Noodles,No,No,4.5,60,Indiranagar,Casual Dining,"Ramen, Noodles, Gyoza, Rolls, Dumplings, Wasabi Ice Cream, Lime Mojito","Chinese, Asian, Japanese",800.00,Dine-out
20035,The Mad Teapot,No,Yes,4.1,289,Indiranagar,Cafe,"Tea, Pasta, Sandwiches, Hot Chocolate, Sandwich, Pizza, Spaghetti",Cafe,850.00,Dine-out
20036,UTHRA,No,Yes,4,103,Indiranagar,Casual Dining,"Kulfi, Mocktails, Dahipuri, Roti","North Indian, Modern Indian",800.00,Dine-out
20039,Doff Pub and Lounge,No,Yes,4.1,1341,Indiranagar,Lounge,"Beer, Cocktails, Pasta, Chicken Lollipop, Jalapeno Cheeseballs, Nachos, Chicken Fingers","Continental, American, Pizza, North Indian, Chinese, Finger Food, Asian, Thai",1500.00,Dine-out
20046,Nakkshatra,No,Yes,3.9,79,Indiranagar,Casual Dining,"Paan Shot, Carrot Halwa, Apple Jalebi, Andhra Meal, Dal Makhani, Mutton Roganjosh, Gajar Ka Halwa","North Indian, Andhra",1100.00,Dine-out
20061,New Shanthi Sagar,No,No,2.8,211,Indiranagar,Casual Dining,"Coffee, Masala Dosa, Idli, Vada, Thali","South Indian, North Indian, Chinese, Street Food",650.00,Dine-out
20064,The Beer Joint,No,No,3.4,77,Indiranagar,Casual Dining,NA,"North Indian, Chinese",800.00,Dine-out
20075,Take 5,No,No,3.5,10,Indiranagar,Lounge,NA,"Chinese, Continental, Steak",1300.00,Dine-out
20091,Shree Annapoorneshwari Mess,No,No,3.3,7,Indiranagar,Mess,NA,South Indian,200.00,Dine-out
20092,Amexicano,No,No,3.8,31,East Bangalore,Food Truck,NA,"American, Mexican",400.00,Dine-out
20103,H3O,No,No,3.1,11,Indiranagar,Bar,NA,"North Indian, Chinese",1000.00,Dine-out
20105,Sriracha Robata & Contemporary Pan Asian Dining,No,No,0,0,Indiranagar,Casual Dining,NA,"Asian, BBQ, Seafood, Chinese",1000.00,Dine-out
20111,One Night In Bangkok,No,No,0,0,Indiranagar,Casual Dining,NA,"Asian, Thai",1400.00,Dine-out
20114,Mavalli Tiffin Room (MTR),No,No,4.3,1878,Indiranagar,Quick Bites,"Masala Dosa, Filter Coffee, Lunch Thali, Rava Idli, Neer Dosa, Medu Vada, Tea",South Indian,300.00,Dine-out
20117,KFC,Yes,No,3.1,668,Indiranagar,Quick Bites,"Zinger Burger, Crispy Chicken, Rice Bowl, Hot Wings, Pizza, Chicken Popcorn, Virgin Mojito","Burger, Fast Food",450.00,Dine-out
20123,Domino's Pizza,Yes,No,3,464,Indiranagar,Quick Bites,"Pane Pizza, Garlic Bread, Pepperoni Pizza, Chocolava Cake, Veggie Pizza, Cheese Burst Pizza","Pizza, Fast Food",800.00,Dine-out
20124,Five Star Chicken,Yes,No,3.7,78,Indiranagar,Quick Bites,"Burgers, Chicken Bucket, Rolls, Chicken Fries","Fast Food, Burger",200.00,NA
20133,Leon Grill,Yes,No,4.2,315,Indiranagar,Quick Bites,"Burgers, Chocolate Mousse, Peri Peri Wings, Peri Peri Fries, Wedges, Peri Peri Chicken Salad, Salads","Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",500.00,Dine-out
20155,Kylie's,No,No,4.2,261,Indiranagar,Quick Bites,"Chicken Teriyaki Bao, Kaffir Lime, Walnut Brownie, Rice Bowls, Khao Suey, Veg Bao, Snapper","Asian, Chinese",500.00,Dine-out
20162,Shivaji Military Hotel,No,No,3.2,4,Indiranagar,Quick Bites,NA,"South Indian, Biryani",150.00,Dine-out
20163,Halli Mane Rotti,No,No,3.4,8,Indiranagar,Quick Bites,NA,South Indian,150.00,Dine-out
20166,California Burrito,No,No,4.2,253,Indiranagar,Quick Bites,"Rice Bowl, California Burrito, Nachos, Salad, Burrito Bowl, Chips, Rice Bowls","Mexican, Fast Food",400.00,Dine-out
20167,Ambur Biriyani,No,No,3.5,41,Indiranagar,Quick Bites,NA,Biryani,250.00,Dine-out
20183,Chaithanya Veg,No,No,3.7,38,Indiranagar,Quick Bites,NA,"South Indian, North Indian, Chinese",200.00,Dine-out
20184,Lazer Castle,No,No,3,28,Indiranagar,Quick Bites,NA,Fast Food,300.00,Dine-out
20186,Om Sai Skanda Dosa Camp,No,No,3.9,29,Indiranagar,Quick Bites,NA,South Indian,150.00,Dine-out
20188,Vani Hindu Military Hotel,No,No,3.3,4,Indiranagar,Quick Bites,NA,South Indian,250.00,Dine-out
20189,Chaithanya Xpress,No,No,3.6,12,Indiranagar,Quick Bites,NA,"South Indian, North Indian",300.00,Dine-out
20192,Goli Vada Pav No. 1,No,No,3.6,39,Indiranagar,Quick Bites,NA,Street Food,200.00,Dine-out
20199,Smoodys,No,No,3,14,Indiranagar,Quick Bites,NA,"Fast Food, Juices",350.00,Dine-out
20201,BR Military Hotel,No,No,3.1,6,Indiranagar,Quick Bites,NA,South Indian,300.00,Dine-out
20203,King Burger Cafeteria,No,No,3.1,11,Indiranagar,Quick Bites,NA,"Fast Food, Juices",250.00,Dine-out
20224,Mini Wok,No,No,0,0,Indiranagar,Quick Bites,NA,"Chinese, Fast Food",200.00,Dine-out
20226,Sri Vasavi Super Sandwich,No,No,3.1,19,Indiranagar,Quick Bites,NA,"Fast Food, Sandwich, Juices",200.00,Dine-out
20232,Hatti Kaapi,No,No,0,0,Indiranagar,Quick Bites,NA,"South Indian, Beverages",200.00,Dine-out
20264,Chef Inn Regency,No,No,3.3,4,Domlur,"Casual Dining, Bar",NA,"North Indian, Chinese, Andhra, Mangalorean",800.00,Dine-out
20275,Masala Dani - The Paul,No,No,3.7,56,Domlur,Casual Dining,"Dal Makhani, Kulfi, Rice, Lahori Chicken, Tandoori Roti","Mughlai, North Indian",1800.00,Dine-out
20277,Quench Bar,No,No,4,108,Domlur,Bar,"Rooftop Ambience, Decor","Seafood, Mexican, Continental, Finger Food",1300.00,Dine-out
20279,Banana Leaf,No,No,3.5,12,Domlur,Casual Dining,NA,Andhra,500.00,Dine-out
20286,Night Booze,No,No,3.2,8,Thippasandra,"Casual Dining, Bar",NA,"North Indian, Fast Food",600.00,Dine-out
20294,Serenitea4u,No,No,3.4,9,Jeevan Bhima Nagar,"Beverage Shop, Quick Bites",NA,"Beverages, Fast Food",100.00,Dine-out
20295,Haveli,No,No,3.6,22,Thippasandra,Casual Dining,NA,"North Indian, Chinese",300.00,Dine-out
20339,Shri Krishna Bhavan,No,No,3.7,96,Thippasandra,Quick Bites,"Pav Bhaji, Masala Dosa, Tea, Roti","South Indian, Chinese, North Indian, Street Food",350.00,Dine-out
20345,Neer Dose Fish Land,No,No,3.5,8,Domlur,Quick Bites,NA,"South Indian, North Indian, Seafood",250.00,Dine-out
20351,Mary Cafe,No,No,3.3,17,Thippasandra,Quick Bites,NA,"Chinese, South Indian",150.00,Dine-out
20361,Home Touch Hotel,No,No,3.2,4,Jeevan Bhima Nagar,Quick Bites,NA,"South Indian, Kerala",150.00,Dine-out
20362,Biryani Palace,No,No,3.2,7,Jeevan Bhima Nagar,Quick Bites,NA,"Biryani, Fast Food",200.00,Dine-out
20363,Krish Punjabi Kitchen,No,No,3.6,17,Thippasandra,Quick Bites,NA,North Indian,500.00,Dine-out
20364,Donne Biryani Angadi Mane,No,No,3.1,8,Thippasandra,Quick Bites,NA,"Biryani, South Indian",250.00,Dine-out
20365,Sri Lakshmi Darshini,No,No,3.4,5,Thippasandra,Quick Bites,NA,"South Indian, North Indian",150.00,Dine-out
20379,ONS Food,No,No,0,0,Thippasandra,Quick Bites,NA,"North Indian, Chinese",150.00,Dine-out
20423,New Udupi Garden,No,No,3.6,14,Old Airport Road,Quick Bites,NA,"South Indian, North Indian, Chinese",300.00,Dine-out
20442,The Punjabi Bites,No,No,3.9,82,Old Airport Road,Quick Bites,"Thali, Chole Bhature, Lassi, Gulab Jamun, Salad",North Indian,150.00,Dine-out
20444,Kolkata Famous Kati Rolls,No,No,3.4,8,Old Airport Road,Kiosk,NA,"Fast Food, Rolls",150.00,Dine-out
20474,The Spice Box,No,No,3.6,30,Old Airport Road,Casual Dining,NA,"North Indian, South Indian",800.00,Dine-out
20475,Barista,No,No,3.5,12,CV Raman Nagar,Cafe,NA,Cafe,300.00,Dine-out
20476,7 Hills Andhra Mess,No,No,3.4,8,CV Raman Nagar,Mess,NA,Andhra,300.00,Dine-out
20479,Drunken Monkey,Yes,No,3.1,14,CV Raman Nagar,"Beverage Shop, Quick Bites",NA,"Beverages, Fast Food",400.00,Dine-out
20493,Food Of Punjab,No,No,3.7,19,Ulsoor,Quick Bites,NA,North Indian,200.00,Dine-out
20503,RJ Food Plaza,No,No,3.1,6,Old Airport Road,Quick Bites,NA,"North Indian, Biryani",200.00,Dine-out
20506,S R Kabab Corner,No,No,3.4,6,Old Madras Road,Quick Bites,NA,"North Indian, Chinese",250.00,Dine-out
20507,Kolkatta Famous Kati Rolls,No,No,3.2,15,Old Airport Road,Quick Bites,NA,"Chinese, Rolls",200.00,Dine-out
20519,Peter's Food Junction,No,No,0,0,Old Airport Road,Quick Bites,NA,"Fast Food, Finger Food, Street Food",250.00,Dine-out
20529,Nagli Veg & Non Veg,No,No,0,0,Old Airport Road,Quick Bites,NA,North Indian,150.00,Dine-out
20532,Chit Chat Cafe,No,No,0,0,Old Airport Road,"Beverage Shop, Quick Bites",NA,Fast Food,150.00,Dine-out
20578,Inntense Restobar,No,Yes,0,0,Indiranagar,"Bar, Casual Dining",NA,"Finger Food, Continental, North Indian, Pizza, Burger",1600.00,Drinks & nightlife
20646,Goofy's,No,No,3.2,8,Indiranagar,Pub,NA,Finger Food,1000.00,Pubs and bars
